42061,Huntingdon,Pennsylvania,0.737,0.23,19496,14369,4487,0.748,0.239,22793,17059,5448,40.42162652,-77.97673273,1041,19,45686,24129,21557,1.9,90.9,5,0.1,0.5,0,36688,46765,1246,22908,971,13.6,20.1,28.4,20.8,20.7,13.8,16.3,77,11.3,0.2,6.3,1.3,3.9,29.5,18540,78.9,14.7,6.2,0.1,6.7
42063,Indiana,Pennsylvania,0.661,0.304,37728,24920,11468,0.682,0.307,41196,28087,12634,40.65241041,-79.08963285,1222,17,86551,43449,43102,1.3,93.9,2.2,0.2,1.1,0,69989,46306,1207,25014,789,16.6,19.2,30,19.5,22.7,12.5,15.3,79.6,9.4,0.8,5.2,1.9,3,23,38523,78.8,14.4,6.7,0.2,7.8
42065,Jefferson,Pennsylvania,0.783,0.185,18551,14533,3437,0.788,0.198,22761,17928,4498,41.12913106,-78.9986361,226,4,44258,21963,22295,0.8,97.3,0.6,0.2,0.3,0,34790,45342,1246,23895,491,14.2,20.8,26.3,17.3,19.7,13.8,22.9,83.2,8.5,0.5,4,1.1,2.7,23.1,19833,82,10.2,7.5,0.3,4.7
42067,Juniata,Pennsylvania,0.792,0.174,10402,8234,1810,0.801,0.187,12042,9648,2253,40.53358749,-77.3997513,248,8,24448,12210,12238,3.2,94.8,1.1,0,0.3,0,18662,50571,2171,24068,849,13.1,20.9,26.2,14.9,19.9,15.5,23.5,78.3,11.5,0.3,3.5,0.9,5.5,30.6,11180,81.5,10.6,7.6,0.3,4.4
42069,Lackawanna,Pennsylvania,0.468,0.502,102740,48102,51593,0.452,0.536,113975,51501,61124,41.43564672,-75.60379201,3875,219,211960,102652,109308,6.7,86.6,2.6,0.1,2.5,0,163823,48380,1117,27258,551,15.4,22.5,35.1,17.2,24.8,8.3,14.7,80.8,10.4,0.9,3.3,0.8,3.7,20.9,97184,82.8,12.2,4.8,0.2,5.4
42071,Lancaster,Pennsylvania,0.573,0.377,239151,137145,90066,0.57,0.411,280485,159902,115294,40.03904563,-76.24770128,9929,479,536494,262686,273808,10,82.7,3.6,0.1,2.1,0,397192,61492,650,29280,301,10.4,15,33.3,16,23,10.6,17,78.7,9.4,1.3,3.8,1.8,5,23.1,267348,85.1,7.9,6.8,0.2,4.7
42073,Lawrence,Pennsylvania,0.624,0.344,40555,25323,13933,0.643,0.346,45558,29290,15772,40.99206278,-80.33393706,957,35,88231,42663,45568,1.3,92,3.5,0.1,0.5,0,70117,47188,1429,26918,861,14,20.5,30.6,18.5,23.6,9.8,17.4,84,8.8,0.8,2.2,1,3.2,22.9,39309,84.3,10,5.5,0.2,6.5
42075,Lebanon,Pennsylvania,0.659,0.303,58906,38804,17860,0.653,0.334,70890,46267,23646,40.36680311,-76.45651841,3215,67,137616,67390,70226,12.2,83.4,1.8,0.1,1.3,0,103979,57698,1688,27916,538,10.5,14.8,30.1,18.4,24,9.5,18,81.1,9,0.7,4.3,1,4,23.1,65970,82.4,11.1,6.3,0.2,5.8
42077,Lehigh,Pennsylvania,0.459,0.504,153031,70285,77087,0.456,0.532,180284,82287,95889,40.6154815,-75.59435245,6863,366,360774,176067,184707,22.8,66.5,5.4,0.1,3.3,0,263430,60116,820,30988,540,13.3,20.4,35.1,16.6,24.7,7.1,16.6,80.6,9.6,2.1,2.3,0.9,4.5,24.7,174705,87.9,7.8,4.2,0.1,7
42079,Luzerne,Pennsylvania,0.584,0.388,132731,77508,51454,0.568,0.422,151727,86127,64100,41.17823008,-75.98447579,5624,206,318222,156922,161300,10.1,83.8,3.5,0.1,1.2,0,246670,49290,817,26809,371,15.2,26.1,31,17.8,25.9,7.9,17.3,81.6,10.4,1.1,2.8,0.8,3.3,22.1,148463,84.2,11.1,4.5,0.2,7
42081,Lycoming,Pennsylvania,0.705,0.257,50294,35475,12926,0.7,0.286,59221,41439,16961,41.34310539,-77.06629984,1004,32,115398,56644,58754,1.9,90.7,4.8,0.1,0.6,0,90774,50634,1359,26265,533,14,21.2,30.4,19.9,24.1,9.2,16.5,82.5,8.4,1.3,3.2,1.5,3.1,20.2,53885,83.9,10.8,5.1,0.2,6.2
